,image_id,cell_id,centroid-0,centroid-1
0,7,1,1,1156
1,7,2,2,1392
2,7,3,2,1521
3,7,4,3,37
4,7,5,2,340
5,7,6,3,1623
6,7,7,4,307
7,7,8,4,570
8,7,9,3,954
9,7,10,3,997
10,7,11,3,1284
11,7,12,3,1536
12,7,13,4,81
13,7,14,6,174
14,7,15,4,447
15,7,16,4,698
16,7,17,5,751
17,7,18,5,1198
18,7,19,5,160
19,7,20,5,550
20,7,21,5,588
21,7,22,5,768
22,7,23,6,854
23,7,24,6,935
24,7,25,5,1012
25,7,26,5,1027
26,7,27,4,1260
27,7,28,6,1271
28,7,29,5,1856
29,7,30,5,420
30,7,31,7,798
31,7,32,6,1319
32,7,33,5,1552
33,7,34,7,104
34,7,35,7,201
35,7,36,6,711
36,7,37,7,1337
37,7,38,7,1512
38,7,39,16,1762
39,7,40,8,279
40,7,41,8,482
41,7,42,8,665
42,7,43,8,919
43,7,44,8,1059
44,7,45,9,1498
45,7,46,9,1817
46,7,47,7,1953
47,7,48,10,224
48,7,49,10,1379
49,7,50,12,898
50,7,51,11,1359
51,7,52,10,1639
52,7,53,11,329
53,7,54,12,384
54,7,55,11,836
55,7,56,12,1439
56,7,57,13,17
57,7,58,12,351
58,7,59,13,976
59,7,60,13,1099
60,7,61,13,1305
61,7,62,13,1423
62,7,63,13,1601
63,7,64,13,134
64,7,65,11,819
65,7,66,15,998
66,7,67,14,729
67,7,68,16,952
68,7,69,16,1164
69,7,70,14,1774
70,7,71,15,772
71,7,72,16,1673
72,7,73,16,1121
73,7,74,17,1542
74,7,75,16,1614
75,7,76,18,297
76,7,77,17,312
77,7,78,19,113
78,7,79,19,1229
79,7,80,17,1519
80,7,81,19,36
81,7,82,19,579
82,7,83,19,755
83,7,84,20,784
84,7,85,20,175
85,7,86,20,205
86,7,87,21,876
87,7,88,23,1282
88,7,89,22,248
89,7,90,22,925
90,7,91,22,1571
91,7,92,22,80
92,7,93,23,265
93,7,94,20,1010
94,7,95,23,806
95,7,96,23,1334
96,7,97,24,1833
97,7,98,24,847
98,7,99,26,153
99,7,100,25,476
100,7,101,26,684
101,7,102,25,1371
102,7,103,27,1241
103,7,104,31,431
104,7,105,27,1795
105,7,106,28,96
106,7,107,28,227
107,7,108,28,389
108,7,109,29,557
109,7,110,31,279
110,7,111,30,973
111,7,112,30,1299
112,7,113,30,1322
113,7,114,30,1417
114,7,115,29,1637
115,7,116,29,1680
116,7,117,29,1698
117,7,118,30,1812
118,7,119,31,1262
119,7,120,30,339
120,7,121,31,456
121,7,122,31,518
122,7,123,31,597
123,7,124,31,1218
124,7,125,31,1388
125,7,126,30,1502
126,7,127,33,193
127,7,128,33,959
128,7,129,32,989
129,7,130,33,1206
130,7,131,31,1356
131,7,132,33,1532
132,7,133,33,1560
133,7,134,32,713
134,7,135,34,862
135,7,136,33,1847
136,7,137,34,209
137,7,138,34,317
138,7,139,36,535
139,7,140,35,1625
140,7,141,36,1715
141,7,142,36,1001
142,7,143,36,1519
143,7,144,38,21
144,7,145,37,106
145,7,146,38,745
146,7,147,38,1040
147,7,148,37,1056
148,7,149,37,1227
149,7,150,37,1309
150,7,151,38,1457
151,7,152,39,255
152,7,153,39,399
153,7,154,39,769
154,7,155,39,1023
155,7,156,39,1894
156,7,157,40,142
157,7,158,39,294
158,7,159,40,1158
159,7,160,40,1665
160,7,161,41,122
161,7,162,42,365
162,7,163,39,627
163,7,164,41,799
164,7,165,38,939
165,7,166,42,170
166,7,167,41,575
167,7,168,42,1242
168,7,169,43,1330
169,7,170,41,1344
170,7,171,42,1866
171,7,172,43,1136
172,7,173,43,1273
173,7,174,43,482
174,7,175,44,1369
175,7,176,48,1118
176,7,177,46,1181
177,7,178,46,1491
178,7,179,46,1833
