,gts,preds
0,14,6
1,14,14
2,1,8
3,8,4
4,14,14
5,14,14
6,1,1
7,13,15
8,1,14
9,8,11
10,14,6
11,8,8
12,1,9
13,8,8
14,8,15
15,13,15
16,11,11
17,0,4
18,14,15
19,14,14
20,8,1
21,4,8
22,15,15
23,13,13
24,11,15
25,1,3
26,4,4
27,13,4
28,4,8
29,14,14
30,1,1
31,14,14
32,14,14
33,9,9
34,6,6
35,1,12
36,1,11
37,13,13
38,8,4
39,8,14
40,3,3
41,0,6
42,1,1
43,6,6
44,9,15
45,13,15
46,8,15
47,9,1
48,15,3
49,13,13
50,1,8
51,13,15
52,8,3
53,8,8
54,1,12
55,15,15
56,8,4
57,9,9
58,0,1
59,8,9
60,1,1
61,8,3
62,8,6
63,8,8
64,11,12
65,8,9
66,14,14
67,8,12
68,13,4
69,8,15
70,8,6
71,1,14
72,9,1
73,4,12
74,11,11
75,11,11
76,4,4
77,13,8
78,14,14
79,13,15
80,8,8
81,15,15
82,11,11
83,14,14
84,15,14
85,8,11
86,1,12
87,8,1
88,1,12
89,8,8
90,8,8
91,8,4
92,8,4
93,14,8
94,9,12
95,3,3
96,13,13
97,8,12
98,8,14
99,14,14
100,15,15
101,14,14
102,13,15
103,8,15
104,11,11
105,13,8
106,0,15
107,4,15
108,15,15
109,8,8
110,13,15
111,8,8
112,3,3
113,13,13
114,15,1
115,13,15
116,15,15
117,1,9
118,13,13
119,14,14
120,9,9
121,8,8
122,14,4
123,11,11
124,6,14
125,8,12
126,4,8
127,0,6
128,11,11
129,8,8
130,9,1
131,1,3
132,14,8
133,9,9
134,13,15
135,14,4
136,9,9
137,1,15
138,13,13
139,13,15
140,14,14
141,13,4
142,8,8
143,11,11
144,11,11
145,8,8
146,1,1
147,8,4
148,13,15
149,11,11
150,8,8
151,9,9
152,13,15
153,14,12
154,8,4
155,15,12
156,8,8
157,13,15
158,14,14
159,1,12
160,8,1
161,8,8
162,8,6
163,3,3
164,8,8
165,13,15
166,4,14
167,14,6
168,1,8
169,1,9
170,1,12
171,8,12
172,11,11
173,1,1
174,4,14
175,8,8
176,13,4
177,0,8
178,9,9
179,8,15
180,6,6
181,0,14
182,13,12
183,11,15
184,14,11
185,8,8
186,1,9
187,8,8
188,11,15
189,1,6
190,15,15
191,13,8
192,13,13
193,14,14
194,14,14
195,14,15
196,1,15
197,8,8
198,1,1
199,4,4
200,13,8
201,13,15
202,13,13
203,9,15
204,15,15
205,13,15
206,13,13
207,8,14
208,9,3
209,13,15
210,13,15
211,3,3
212,14,14
213,13,8
214,6,6
215,8,15
216,15,4
217,15,15
218,8,6
219,14,14
220,8,8
221,11,11
222,8,8
223,1,12
224,1,8
225,8,1
226,8,12
227,8,15
228,1,8
229,13,8
230,13,15
231,14,14
232,15,15
233,13,8
234,13,8
235,11,11
236,13,4
237,1,1
238,15,4
239,11,11
240,8,9
241,14,14
242,14,14
243,9,1
244,1,1
245,14,6
246,13,15
247,6,6
248,8,4
249,1,1
250,13,15
251,8,8
252,1,9
253,1,12
254,1,9
255,6,6
256,14,14
257,8,14
258,11,11
259,0,0
260,9,1
261,8,4
262,1,1
263,12,12
264,15,15
265,1,1
266,8,15
267,15,6
268,8,4
269,4,4
270,13,8
271,8,11
272,6,6
273,8,6
274,1,1
275,4,15
276,8,1
277,1,12
278,2,8
279,15,9
280,8,8
281,15,15
282,9,15
283,2,12
284,14,6
285,14,6
286,14,6
287,1,9
288,13,13
289,13,13
290,14,14
291,8,6
292,3,3
293,8,8
294,8,8
295,15,15
296,8,8
297,8,8
298,8,4
299,3,3
300,8,8
301,8,12
302,8,9
303,3,3
304,6,6
305,8,8
306,1,1
307,8,4
308,8,8
309,13,13
310,8,4
311,1,1
312,13,15
313,13,15
314,1,4
315,8,1
316,1,1
317,8,8
318,8,8
319,8,2
320,15,15
321,6,6
322,8,4
323,8,8
324,14,6
325,1,3
326,1,9
327,8,14
328,1,6
329,8,8
330,13,15
331,14,14
332,8,8
333,15,15
334,14,14
335,8,8
336,8,4
337,1,9
338,3,8
339,9,9
340,8,1
341,8,8
342,8,8
343,13,13
344,8,4
345,15,15
346,6,6
347,14,6
348,3,15
349,1,8
350,8,8
351,13,13
352,8,8
353,8,14
354,8,14
355,8,4
356,8,14
357,1,12
358,9,15
359,6,6
360,8,1
361,8,8
362,8,8
363,8,15
364,13,15
365,8,4
366,8,8
367,8,3
368,1,15
369,8,4
370,8,8
371,13,15
372,14,6
373,13,14
374,8,8
375,1,9
376,14,14
377,8,4
378,8,4
379,8,8
380,8,4
381,10,10
382,8,8
383,13,15
384,15,15
385,8,8
386,8,8
387,4,4
388,1,15
389,1,1
390,8,8
391,8,8
392,8,12
393,1,9
394,11,11
395,14,12
396,6,6
397,4,8
398,8,11
399,8,8
400,4,4
401,6,6
402,8,8
403,13,13
404,1,9
405,11,11
406,8,8
407,14,14
408,8,14
409,1,9
410,13,13
411,4,4
412,9,9
413,13,15
414,13,11
415,8,14
416,1,9
417,13,15
418,1,12
419,8,8
420,1,12
421,4,8
422,8,8
423,10,3
424,8,12
425,8,14
426,8,8
427,8,4
428,8,8
429,8,8
430,13,8
431,6,6
432,3,3
433,14,6
434,8,4
435,8,14
436,8,8
437,1,14
438,8,15
439,14,11
440,1,9
441,14,14
442,13,9
443,3,3
444,8,9
445,13,15
446,8,14
447,13,14
448,8,8
449,8,8
450,8,14
451,14,4
452,1,15
453,2,2
454,8,6
455,1,15
456,13,15
457,1,4
458,1,9
459,1,8
460,8,8
461,3,3
462,8,14
463,14,6
464,1,8
465,8,9
466,13,2
467,1,9
468,13,13
469,8,4
470,13,9
471,8,8
472,8,15
473,8,8
474,8,14
475,8,4
476,11,11
477,8,8
478,13,15
479,4,4
480,1,9
481,1,1
482,1,10
483,8,13
484,13,15
485,8,14
486,14,15
487,8,4
488,1,1
489,14,14
490,8,15
491,3,8
492,1,8
493,13,13
494,8,15
495,15,3
496,15,14
497,1,9
498,11,11
499,8,8
500,4,15
501,8,11
502,9,11
503,3,3
504,1,8
505,3,3
506,8,8
507,1,1
508,8,15
509,4,4
510,13,8
511,8,14
512,13,15
513,1,4
514,8,8
515,9,1
516,6,6
517,9,9
518,13,8
519,13,8
